input_sentence,label,category,explanation,is category correct?,"if not, what is correct label",localisation given,localization correct,expl part 1 given,expl part 1 correct,expl part 2 given,expl part 2 correct,bonus - correction given,bonus - correction correct,bonuses (out of 2),total with bonuses (out of 8),total_exp,structure_exp,correct_exp1
Who does John visit Sally because he likes?,0,Syntax,"The sentence contains a misplaced relative clause ""because he likes."" This type of clause needs to be immediately after the noun it modifies, so it should either modify ""John"" or ""Sally"", but not sit at the end of the sentence as it currently does. A possible correction would be: ""Who does John visit because he likes her?"" (modifying 'Sally') or ""Who is it that John visits Sally because he likes?"" (creating a new noun phrase for the relative clause to modify).",1,,1,"0,5",1,"0,5",1,"0,5",1,"0,5","1,5",6,"4,5",3,"1,5"
Us love they.,0,Syntax,"In standard English, subject pronouns (I, you, he, she, it, we, they) typically come before verbs. The verb “love” requires a subject, but no appropriate subject is provided before the verb. A correct version could be “They love us.”",1,,1,"0,5",1,"0,5",1,"0,5",1,1,2,"6,5","4,5",3,"1,5"
"This is the book which Bob reviewed, and this is the one which Fred won't do it.",0,Semantics,"The second sentence is grammatically incorrect because the pronoun 'it' does not have a clear antecedent. It is unclear what exactly ""Fred won't do."" In order for the sentence to be corrected, it needs to specify what action or item Fred refuses to do or take. For example, ""This is the one which Fred won't review"" would be grammatically correct if we assume that 'one' refers to another object being discussed earlier in context.",0,Syntax,1,"0,5",1,"0,5",1,1,0,0,0,5,5,3,2
Which report that John was incompetent did he submit?,0,Syntax,"The sentence contains a misplaced relative pronoun ""that."" A noun or pronoun must come before a relative clause, but here, ""report"" follows ""that,"" making the sentence ungrammatical. To fix it, we could say, ""Which report did he submit that indicated John was incompetent?""",1,,1,"0,5",1,0,1,0,1,1,2,"5,5","3,5",3,"0,5"
I know a man who Tom drives as drives.,0,Syntax,"The sentence contains multiple syntax errors. Specifically, there are two instances of the verb ""drives"" used incorrectly. It seems that the intended meaning is to say ""I know a man whom Tom drives,"" but instead, it says ""as drives."" This creates confusion about the subject-verb agreement and the relationship between the clauses in the sentence.",1,,1,1,1,1,0,0,0,0,0,4,4,2,2
"Drowning cats, which is against the law, are hard to rescue.",0,Syntax,"The subject-verb agreement is incorrect in this sentence. The plural noun phrase ""drowning cats"" does not agree with the singular verb form ""is."" It should be ""Drowning cats, which is against the law, are hard to rescue,"" or better yet, rephrase it as ""Cats that are drowning, which is illegal, are difficult to rescue.""",1,,1,"0,5",1,"0,5",0,0,1,0,1,4,3,2,1
Himself is understood by Rutherford.,0,Syntax,"The sentence ""Himself is understood by Rutherford"" contains a syntactic error because it violates the rule for reflexive pronouns. In English grammar, a reflexive pronoun (e.g., myself, yourself, himself) must refer back to a noun or pronoun within the same clause. Here, the subject of the sentence is ""Himself,"" but there is no antecedent noun or pronoun to which it can refer. A possible correction could be ""Rutherford understands himself.""",1,,1,1,1,1,1,1,1,1,2,8,6,3,3
The proof this set is recursive is difficult.,0,Syntax,"In this case, there is a subject-verb agreement error. The singular subject ""the proof"" requires a singular verb, but ""is"" is plural. It should be ""The proof is difficult,"" or ""Proving this set is difficult."" Additionally, the phrase ""this set"" lacks an article (a/an), so it should be ""the set"". Thus, the corrected sentence would read either ""The proof is difficult"" or ""Proving the set is difficult.""",1,,1,0,1,0,1,0,1,1,2,5,3,3,0
The madrigals which Henry plays the lute and sings sound lousy.,0,Syntax,"This sentence contains a syntactic error known as a ""comma splice."" Comma splices occur when two independent clauses (clauses that can stand alone as complete sentences) are joined by only a comma. In this case, ""The madrigals which Henry plays the lute"" and ""sound lousy"" are both independent clauses, but they are incorrectly connected by a comma. To fix this error, we could either use a semicolon or period instead of the comma, or add a conjunction such as ""and"" after the comma. For example: ""The madrigals which Henry plays the lute and sings sound lousy."" or ""The madrigals which Henry plays the lute sound lousy; he sings along anyway.""",1,,1,0,1,0,1,0,1,0,1,4,3,3,0
I won't have some money.,0,Syntax,"The sentence ""I won't have some money"" contains a syntactic error because it uses the wrong form of the verb after ""won't."" In negative statements using contractions (e.g., ""won't""), we use the base form of the verb instead of adding ""-n't"" or ""-not"" to the verb. Therefore, the correct way to express this idea would be ""I won't have any money"" or ""I will not have some money,"" depending on the intended meaning.",1,,1,0,1,0,1,0,1,"0,5","1,5","4,5",3,3,0
The socks are ready for for you to put on to be planned.,0,Syntax,"The sentence contains a redundancy error in the phrase ""for for."" In English, we only need to use the preposition ""for"" once when expressing purpose or possession. Therefore, the corrected version would be: ""The socks are ready for you to put on to be planned."" However, even after removing the extra ""for,"" there are still some issues with the wording and meaning of the sentence (semantic errors). I would suggest rewriting it as follows: ""The socks are ready for you to put on; they're part of today's plan.""",1,"Syntax, Semantics",1,"0,5",1,"0,5","0,5","0,5",1,1,2,6,4,"2,5","1,5"
"Every student, and he wears socks, is a swinger.",0,Syntax,"The subject of the second clause, ""he,"" is incorrectly connected to the first clause by a comma splice. It would be grammatically correct to say ""Every student is a swinger, and he wears socks."" However, it's still unclear who ""he"" refers to since only ""every student"" has been previously mentioned. A better way to phrase the original sentence could be ""Every student wears socks and is a swinger.""",1,,1,1,1,1,0,0,1,"0,5","1,5","5,5",4,2,2
"No writer, nor any playwright, meets in Vienna.",0,Semantics,"The sentence contains a semantic error because it lacks context or information necessary for understanding who or what is being referred to by ""No writer, nor any playwright."" It seems as though there may be some missing information about why we would care if no writers meet in Vienna. Additionally, without additional context, stating that ""no writer"" does something can sound strange because typically we talk about individual writers (e.g., ""John Smith never meets in Vienna"") rather than all writers collectively.",0,"Syntax, Semantics",1,1,1,0,"0,5",0,0,0,0,"3,5","3,5","2,5",1
Janet broke Bill on the finger.,0,Syntax,"The verb ""break"" requires a direct object that describes what was broken. In this case, ""Bill"" cannot be the direct object because people generally can't be described as being ""broken."" Additionally, it seems unlikely that the intended meaning is for Janet to have physically injured Bill's finger. A more appropriate way to phrase the sentence could be ""Janet broke Bill's finger,"" or if the intent is to say that Bill did something wrong, then ""Janet caught Bill in the act (of doing something) on finger.""",1,,1,1,1,1,"0,5",1,1,"0,5","1,5",7,"5,5","2,5",3
Carla slid at the book.,0,Syntax,"The sentence ""Carla slid at the book"" is syntactically incorrect because the preposition ""at"" is used incorrectly in this context. Typically, we slide on or over a surface rather than at something. A more appropriate way to phrase this would be ""Carla slipped on the book."" Alternatively, if she was moving past it quickly, ""Carla slid by the book"" could work as well.",1,,1,1,1,1,1,1,1,1,2,8,6,3,3
Packages drive easily to New York.,0,Syntax,"The subject-verb agreement in this sentence is incorrect. The plural noun ""packages"" does not agree with the singular verb ""drive."" It should be either ""Packages drives easily to New York"" (if there's only one package driving) or ""Packages drive easily to New York"" (with a different meaning). In addition, it would be more natural to say ""Package delivery to New York is easy,"" as it better conveys the intended meaning while adhering to proper syntax rules.",1,"Syntax, Semantics",1,1,1,0,0,0,1,0,1,4,3,2,1
My heart is pounding me.,0,Syntax,"In standard English, we would say ""My heart is pounding"" rather than ""My heart is pounding me."" The verb ""pound"" can take a direct object (as in ""She pounded the dough""), but when used metaphorically as here to describe a feeling or sensation, it does not need one. Additionally, if we wanted to express the idea of something causing a physical reaction in oneself using a reflexive pronoun such as ""me,"" we might instead use a different verb altogether; for example, ""My heart is jumping/fluttering/skipping beats because I'm so nervous.""",1,"Syntax, Semantics",1,1,1,1,1,1,1,1,2,8,6,3,3
I squeaked the door.,0,Syntax,"The verb ""squeak"" typically describes a sound made by something (or someone) other than the speaker. For example, we might say ""The door squeaks when it opens."" To indicate that the speaker caused the door to make a squeaking sound, we would use the construction ""I squeezed the door (to make it squeak)."" Therefore, without additional context or clarification, ""I sqeaked the door"" is syntactically incorrect because it implies that the subject (""I"") has the property of being able to produce the sound associated with a squeaky door.",1,"Syntax, Semantics",1,1,1,"0,5",1,"0,5",1,1,2,7,5,3,2
There presented itself a wonderful opportunity yesterday.,0,Syntax,"The verb ""present"" should be used as a transitive verb in this context, meaning it needs an object. A more appropriate way to phrase the sentence would be ""A wonderful opportunity presented itself yesterday."" This structure allows for the past tense of ""to present"" (i.e., ""presented"") to have an understood subject (""it"").",1,,1,0,1,0,1,"0,5",1,1,2,"5,5","3,5",3,"0,5"
many information was provided.,0,Syntax,"The subject-verb agreement is incorrect in this sentence. In English, a singular subject requires a singular verb, while a plural subject requires a plural verb. Here, the subject ""many information"" is plural but the verb ""was"" is singular. It should be ""Many pieces of information were provided.""",1,,1,0,1,0,1,0,1,1,2,5,3,3,0
John offers many advice.,0,Syntax,"The noun ""advice"" is uncountable, so it should be used with a singular verb. The correct sentence should be ""John offers much advice."" or ""John offers a lot of advice.""",1,,1,0,0,0,1,0,1,1,2,4,2,2,0
Wash you!,0,Syntax,"The verb ""wash"" requires a direct object to complete its meaning, but there is no direct object in this sentence. A correct version could be ""Wash **you**!"" or ""**You** wash."", where the subject and the object are clearly distinguished.",1,,1,1,1,0,1,0,1,0,1,5,4,3,1
It was the policeman met that several young students in the park last night.,0,Syntax,"The verb tense is inconsistent in this sentence. ""was"" is past tense while ""met"" can be interpreted as either present or past tense. Additionally, there is a word order issue - it should be ""that several young students met the policeman."" Inversion (policeman-students) occurs when we use a question form (""Did the policeman meet several young students?""), but here we have a declarative statement.",1,,1,"0,5",1,"0,5",0,0,0,0,0,3,3,2,1
The monkeys proud of their leader.,0,Syntax,"This sentence is syntactically incorrect because it requires a linking verb such as ""are"" between ""monkeys"" and ""proud."" A corrected version would be: ""The monkeys are proud of their leader.""",1,,1,1,1,1,1,1,1,1,2,8,6,3,3
John put under the bathtub.,0,Syntax,"The sentence ""John put under the bathtub"" is grammatically incorrect because it lacks a preposition indicating where John placed something. A correct version could be ""John put something under the bathtub.""",1,"Syntax, Semantics",1,1,1,0,1,0,1,1,2,6,4,3,1
I drank some of water.,0,Syntax,"In English, we must use an article (a, an, or the) before a singular, countable noun unless it has been specified previously. Therefore, the correct form would be ""I drank some of the water"" if referring to a specific body of water, or simply ""I drank some water.""",1,,1,1,0,0,1,"0,5",1,1,2,"5,5","3,5",2,"1,5"
He washed yourself.,0,Syntax,"The verb ""wash"" requires an object pronoun (me, you, him, her, it, us, them) instead of a subject pronoun (I, he, she, we, they). In this case, the objective form ""yourself"" should be used as the reflexive pronoun for the second person singular. Therefore, the grammatically correct version would be ""He washed himself.""",1,,1,1,0,0,1,0,1,1,2,5,3,2,1
John is easy to please Kim.,0,Syntax,"The sentence ""John is easy to please Kim"" is syntactically incorrect because it lacks a preposition such as ""for"" or ""to"" before the name ""Kim."" A correct version could be ""John is easy to please (for) Kim"" or ""John is easy to be pleased by Kim,"" depending on the intended meaning. In the first corrected sentence, ""easy to please"" functions as a passive participial adjective phrase modifying ""John""; in the second, ""easy to be pleased"" acts as an adjectival relative clause modifying ""John"" while ""by Kim"" serves as a prepositional phrase indicating who pleases John easily.",1,,1,1,1,1,1,1,1,1,2,8,6,3,3
It tries to leave the country.,0,Syntax,"The subject (""it"") does not clearly refer to a specific antecedent, making the sentence syntactically incorrect without additional context. Additionally, there is no verb agreement between singular ""it"" and plural ""leave,"" so even if we assume a clear antecedent for ""it,"" the sentence remains grammatically incorrect.",0,Semantics,1,1,1,"0,5",0,0,0,0,0,"3,5","3,5",2,"1,5"
There is believed to be sheep in the park.,0,Syntax,"The verb ""is"" or ""are"" needs to be added before ""believed."" Also, we need to use a plural noun after ""there are,"" so it should say ""sheep are"" instead of ""sheep in the park."" A possible correction would be ""It is believed that there are sheep in the park.""",1,,1,"0,5",1,"0,5",1,"0,5",1,1,2,"6,5","4,5",3,"1,5"
John will rain tomorrow.,0,Syntax,"In English, the subject (in this case, ""John"") cannot be the agent for a weather verb such as ""rain."" Only impersonal subjects can be used with these verbs; therefore, the sentence ""John will rain tomorrow"" is grammatically incorrect. The proper way to phrase this idea would be something like ""It will rain tomorrow,"" since ""it"" serves as a placeholder subject when discussing the weather.",0,Semantics,1,1,1,1,1,1,1,1,2,8,6,3,3
We expect there to will rain.,0,Syntax,"The subject (""there"") and auxiliary verb (""expect"") do not agree in number; it should be ""we expect there to be rain."" Additionally, ""will"" is unnecessary as a future marker because ""be going to rain"" already conveys futurity.",1,,1,"0,5",1,"0,5",1,0,1,1,2,6,4,3,1
Which house does your friend live?,0,Syntax,"The sentence is missing an ""'s"" or a ""of"" after ""friend."" A correct version would be ""Which house does your friend's belong?"" or ""Which house is it that your friend of lives in?""",1,,1,0,0,0,0,0,1,"0,5","1,5","2,5",1,1,0
Jack is the person with whom Jenny fell in love with.,0,Syntax,"The phrase ""with whom"" already includes the preposition ""with,"" so it's redundant to include another ""with"" before it. A corrected version would be: ""Jack is the person whom Jenny fell in love."" However, since many people find the use of ""whom"" formal or old-fashioned, a more commonly used form today would be: ""Jack is the person Jenny fell in love with.""",1,,1,1,1,1,"0,5","0,5",1,"0,5","1,5","6,5",5,"2,5","2,5"
Who achieved the best result was Angela.,0,Syntax,"The sentence contains a misplaced modifier error. In this case, ""who achieved the best result"" is acting as a modifying phrase for the subject ""Angela,"" but it has been placed after its intended noun instead of immediately before it (as would be appropriate for a short adjective phrase). A corrected version might read, ""The person who achieved the best result was Angela.""",1,,1,1,1,0,1,0,1,1,2,6,4,3,1
1 gave Mary after the party a book.,0,Syntax,"In English, we usually follow the order subject-verb-object (SVO) when constructing simple sentences. The original sentence violates this rule by placing the indirect object (""Mary"") between two parts of the verb phrase (""gave...a book""). A corrected version would be ""I gave a book to Mary after the party"" or even just ""I gave Mary a book after the party"".",1,,1,1,1,0,0,0,1,1,2,5,3,2,1
"Because she's so pleasant, as for Mary I really like her.",0,Syntax,"The phrase ""as for"" is used incorrectly in this sentence. A more appropriate way to express this sentiment would be: ""Because she's so pleasant, I really like Mary."" Alternatively, if the speaker wants to emphasize their liking for Mary specifically after mentioning someone else who shares a similar quality (being pleasant), they could say: ""As for Mary, I really like her because she's so pleasant.""",1,,1,1,0,0,0,0,1,1,2,4,2,1,1
Sally kissed himself.,0,Syntax,"The subject-verb agreement is incorrect in this sentence. In English, reflexive pronouns (e.g., myself, yourself, himself) must agree in number with their antecedents. Here, the antecedent is ""Sally,"" a singular noun, so the reflexive pronoun should be ""herself"" instead of ""himself."" Therefore, the corrected sentence would read as follows: ""Sally kissed herself.""",0,Semantics,1,1,1,0,1,0,1,0,1,5,4,3,1
Blue leather shows herself that Betsy is pretty.,0,Syntax,"The subject-verb agreement is incorrect in this sentence. In English, a singular subject requires a singular verb form. The third person singular present tense verb should end in ""-s"" or ""-es."" Here, the plural form ""show"" is used instead of the required singular form ""shows."" A corrected version would be: ""Blue leather shows that Betsy is pretty."" However, there's still some ambiguity as it may sound unnatural since we don't usually say that objects (leather) show something; people do.",1,"Syntax, Semantics",1,0,1,0,1,0,1,1,2,5,3,3,0
I hit that you knew the answer.,0,Syntax,"The correct form of the verb to be after the pronoun ""you"" is ""know"", not ""hit"". Additionally, there should be a comma after ""that"" for clarity. A corrected version would read as follows: ""I hit (or perhaps saw or noticed), that you knew the answer.""",1,"Syntax, Semantics",1,1,0,0,1,1,1,"0,5","1,5","5,5",4,2,2
the panther's the coat is dark black.,0,Syntax,"The noun phrase ""the panther's"" contains a possessive form, indicating possession or association between ""panther"" and another entity (in this case, the coat). However, since there is only one panther being discussed, we do not need to use the possessive form here. Instead, we can simply say ""The panther's coat is dark black."" This would be grammatically correct, but it still includes redundancy because ""dark"" and ""black"" convey similar meanings. Therefore, I would recommend saying either ""The panther's coat is dark"" or ""The panther's coat is black,"" depending on how much emphasis you want to place on each adjective.",1,,1,"0,5",1,0,1,0,1,1,2,"5,5","3,5",3,"0,5"
Did Calvin his homework?,0,Syntax,"The sentence ""Did Calvin his homework?"" is missing a required auxiliary verb, typically ""did"" or ""does"", before the subject ""Calvin"". A more grammatically correct way to phrase the question would be ""Did Calvin do his homework?"" In English, we need to include an auxiliary verb when forming questions using simple present tense verbs (like ""do""). Without it, the sentence becomes ungrammatical.",1,,1,0,1,0,1,0,1,1,2,5,3,3,0
Any man didn't eat dinner.,0,Syntax,"This sentence contains a double negative (""any"" and ""didn't""), which results in a logically inconsistent statement. The corrected version would be ""Not any man ate dinner,"" but this sounds awkward, so it would typically be rephrased as ""No man ate dinner.""",1,,1,1,1,1,0,0,1,"0,5","1,5","5,5",4,2,2
She goes and buying some whiskey.,0,Syntax,"The sentence contains a syntactic error. In particular, there is no verb after ""buying."" A corrected version could be ""She goes and buys some whiskey"" or ""She goes to buy some whiskey,"" depending on what was intended by the original speaker or writer.",1,,1,"0,5",1,0,0,0,1,1,2,"4,5","2,5",2,"0,5"
Mary revealed himself to John.,0,Syntax,"The subject of the sentence ""Mary"" is a female name, so it should be followed by a reflexive pronoun that agrees in gender. Therefore, the grammatically correct form would be ""Mary revealed herself to John.""",0,Semantics,1,1,0,0,1,1,1,1,2,6,4,2,2
What Mary did Bill was give a book.,0,Syntax,"The verb ""give"" needs to agree with its subject in number. In this case, the subject ""Bill"" is singular, so the verb must be ""was giving,"" not ""was give."" Additionally, there should be a word or phrase (such as ""to her"") between ""Mary"" and ""did"" to show how they're related. A corrected version might read: ""What Mary did was give Bill a book"" or ""What Mary gave to Bill was a book.""",1,,1,0,"0,5",0,1,0,1,1,2,"4,5","2,5","2,5",0
Kick you!,0,Syntax,"The sentence ""Kick you!"" is syntactically incorrect because it lacks a subject. A complete sentence must have both a subject and a predicate (verb). In this case, there is no clear subject indicating who or what is doing the kicking. Additionally, using the imperative form (""kick"") would typically be directed towards a second person informally, so adding ""you"" as the subject may help clarify meaning. However, even if we add ""you,"" the sentence still requires proper punctuation such as a period, question mark, or exclamation point at the end. Therefore, the corrected version could be ""Kick you!"" or more grammatically correct, ""You kick.""",0,Semantics,1,0,1,0,1,0,1,"0,5","1,5","4,5",3,3,0
