input_sentence,label,explanation,correction,localisation given,localization correct,expl part 1 given,expl part 1 correct,expl part 2 given,expl part 2 correct,correction given,correction correct,total (out of 8),structure (out of 4),total_exp,structure_exp,total_corr,structure_corr,correct_exp1,correct_exp2
"As you eat the most, you want the least.",0,"The subject-verb agreement is incorrect in this sentence. The subject of the sentence is ""you,"" which is singular, but the verb ""eat"" is paired with a plural pronoun ""the most."" Additionally, there's no clear connection between eating a lot and wanting less; therefore, the meaning of the sentence is unclear as well.","Since you have eaten the most, you seem to want the least.",1,0,1,0,0,0,1,1,4,3,2,2,2,1,0,1
The tube was escaped by gas.,0,"In this sentence, the verb ""escaped"" does not agree with its subject ""the tube"". A more appropriate verb would be ""leaked"", which means to escape from a closed container. Additionally, the preposition used after ""by"" is incorrect; it should be replaced with ""with"" since gas is the cause of the leaking.",The tube was leaked by gas. OR The tube leaked with gas inside it.,1,0,"0,5",0,"0,5",0,1,1,4,3,2,2,2,1,0,1
What the water did to the whole bottle was fill it.,0,"The subject (""the water"") and verb (""did"") in this sentence do not agree in number. Since ""water"" is singular, the third person singular form of the verb must be used, which is ""does,"" not ""did."" Additionally, a more natural phrasing would use a passive voice construction such as ""The bottle was filled by the water.""","The water filled the whole bottle. Alternatively, ""The bottle was filled by the water"" could also be used for a passive voice construction.",1,0,1,0,1,"0,5",1,1,"5,5",4,"3,5",3,2,1,"0,5","1,5"
Mary came to be introduced by the bartender and I also came to be.,0,"The second half of the sentence ""I also came to be"" is grammatically incorrect. It's not idiomatic to say ""come to be"" in this context. Instead, it should simply be ""and so did I"". This construction uses a correlative conjunction (""so"") and the auxiliary verb ""did"", which matches the past tense of the first clause (""came"").",Mary came to be introduced by the bartender and so did I.,1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
"I know which book José didn't read for class, and which book Lilly did it for him.",0,"The pronoun used in the second part of the sentence (""it"") does not clearly refer to anything. It seems to imply that Lilly read a book for some unspecified reason, but the intended meaning is likely that Lilly read the same book that José did not read.","I know which book José didn't read for class, and which book Lilly did instead of him.",1,"0,5",1,"0,5",0,0,1,0,4,3,3,2,1,1,1,1
"I know which book Mag read, and which book Bob read my report that you hadn't.",0,"The sentence contains multiple errors. There is a missing article before ""report,"" and it would be more grammatically correct to say ""the report you hadn't"" rather than ""my report that you hadn't."" Additionally, there is no verb connecting ""Bob read"" and ""you hadn't,"" making the sentence difficult to follow.",I know which book Mag read and which book Bob read. Here is the report that you hadn't seen yet.,1,0,1,0,1,0,1,1,5,4,3,3,2,1,0,1
I know a man who Tom drives as drives.,0,"The sentence contains multiple errors. Specifically, there is a repeated word (""drives"") and an incorrect use of the pronoun ""who"" instead of ""that"". Also, it appears that the speaker is trying to say that Tom regularly drives a certain man, but the phrasing makes it unclear whether the man being driven is named Tom or if someone else is driving him.",I know a man whom Tom often drives. OR I know a man named Tom who frequently drives.,1,1,1,"0,5",0,0,1,1,"5,5",3,"3,5",2,2,1,"1,5","2,5"
The proof this set is recursive is difficult.,0,"There is a mistake in capitalization. In English, we always capitalize the first letter of a sentence. Therefore, ""the"" needs to be capitalized. Additionally, there is no need for a period before ""Firstly,"" as it starts the sentence. Lastly, the word ""proof"" is misspelled; it should be spelled ""Prove.""",The proof that this set is recursive is difficult to establish.,1,0,1,0,1,0,1,1,5,4,3,3,2,1,0,1
Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.,0,"The past participle form of the verb 'get' is 'gotten' when used in a transitive sense (meaning it takes an object), as in ""I have got**ten** a new car"". However, here, the error lies in using 'gotten' instead of the simple past tense 'got'. In addition, there seems to be some confusion regarding the passive voice; consider revising the sentence for clarity. I suppose you want to say something like ""A plan to negotiate an honorable end to the war in Vietnam had been winded up"" if talking about finishing a previous attempt. Otherwise, ""Wind was involved in a plot to negotiate an honorable end to the war in Vietnam"" might work. But without context, it is difficult to provide accurate corrections.","Based on my suggestions above, either ""A plan to negotiate an honorable end to the war in Vietnam had been winded up"" or ""Wind was involved in a plot to negotiate an honorable end to the war in Vietnam,"" depending upon what exactly you intend to convey by this sentence.",1,1,1,1,"0,5","0,5",1,1,7,"3,5",5,"2,5",2,1,"2,5","3,5"
I won't have some money.,0,"The negation in this sentence is incorrect. Instead of ""won't have,"" it should be ""don't have"" or ""doesn't have,"" depending on whether the subject is plural or singular.","I don't have some money. Alternatively, if the subject is singular, the corrected sentence would be: She doesn't have some money.",1,0,"0,5",0,0,0,1,0,"2,5","2,5","1,5","1,5",1,1,0,0
Here's a knife with which for you to cut up the onions.,0,"The preposition ""with"" should be followed by an object, but here it is being incorrectly used with another preposition ""for"". To make this sentence grammatically correct, we need to combine these two phrases into one using a conjunction such as ""and"": ""Here's a knife for you to cut up the onions with.""",Here's a knife for you to cut up the onions with.,1,1,1,1,1,0,1,1,7,4,5,3,2,1,2,3
My mother is easy to please my father and.,0,"The sentence is a fragment because it lacks a main verb. Also, there is a missing conjunction between ""my father"" and what follows it. A corrected version could be: ""My mother is easy to please; she pleases my father and...""",My mother is easy to please. She pleased my father and...,1,0,1,0,1,0,1,1,5,4,3,3,2,1,0,1
"That the cops spoke to the janitor about it yesterday is terrible, that robbery.",0,"The second sentence ""that robbery"" does not make sense without additional context. It seems to be missing a subject and verb. This makes the entire statement unclear and difficult to understand.","The sentence could potentially be corrected as follows: ""That the cops spoke to the janitor about the robbery yesterday is terrible."" However, I would need more information on what exactly is being referred to as 'terrible' before making any definitive judgments.",1,1,1,1,0,0,1,1,6,3,4,2,2,1,2,3
"Every student, and he wears socks, is a swinger.",0,"The sentence contains multiple errors in subject-verb agreement as well as pronoun reference. In the first part of the sentence, 'Every student' is singular, so it requires a singular verb form such as 'is'. However, 'and he wears socks' suggests that there might be more than one person being referred to, which would require a plural verb form such as 'are'. Moreover, the use of 'he' without specifying who it refers to can lead to confusion about whom the statement applies to. Therefore, the sentence needs correction for clarity and grammatical accuracy.","Each student is a swinger who wears socks. Or, alternatively, if referring specifically to males: Every male student is a swinger; each one wears socks.",1,"0,5",1,"0,5",1,0,1,"0,5","5,5",4,4,3,"1,5",1,1,"1,5"
I can't remember the name of somebody who had misgivings.,0,"The subject of the sentence is ""I,"" which is a singular first-person pronoun. However, the verb form used after the subject (""can't remember"") is negative contraction of cannot, which is typically used for plural subjects or formal second person singular subjects. In this case, since the subject is singular, we need to use the singular form of the auxiliary verb ""do"" before ""remember"". Therefore, the correct form would be ""I don't remember."" However, the rest of the sentence has another issue. We cannot say ""the name of somebody"", because ""somebody"" itself means ""a person unknown or unspecified"". Instead, we must say ""the name of someone"".",I don't remember the name of someone who had misgivings.,1,"0,5",1,"0,5",1,0,1,0,5,4,4,3,1,1,1,1
