label	correction
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	The sentence is already correct.
0	As you eat the most, you want the least.
0	The more you want, the less you would eat.
0	I demand that the more John eats, the more he pays.
0	Mary listens to the Grateful Dead and gets depressed.
0	The angrier Mary got, the more she looked at picture.
1	The sentence is already correct.
1	The sentence is already correct.
0	The sentence is already correct.
0	The more people to whom you give beer, the sicker people get.
0	The more Bill smokes, the more Susan hates him.
1	The sentence is already correct.
0	The more lobbyists a senator talks to, the more corrupt he seems to become.
0	Who does John visit because he likes Sally?
1	The sentence is already correct.
1	The sentence is already correct.
0	He cannot have been working.
1	The sentence is already correct.
1	The sentence is already correct.
0	The sentence is already correct.
0	Mickey looked it up.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Gas escaped from the tube.
1	The sentence is already correct.
1	The sentence is already correct.
0	What the water did to the bottle was fill it up.
0	What the water did to the whole bottle was to fill it.
0	The tank leaked the fluid freely.
0	John laid the ball in the box.
1	The sentence is already correct.
1	The sentence is already correct.
0	Most people probably consider Klaus guilty of murder, even though the courts didn't actually find him guilty.
0	The sentence is already correct.
0	The sentence is already correct.
0	Sue gave Bill a book.
1	The sentence is already correct.
1	The sentence is already correct.
0	They represented Mary to the dean as a genuine linguist.
0	We love them.
1	The sentence is already correct.
1	The sentence is already correct.
0	The sentence is already correct.
0	The sentence is already correct.
0	John wants to read Fred's story and so do I.
0	We wanted to invite someone, but we couldn't decide who to invite.
1	The sentence is already correct.
0	Mary claimed that Holly shouldn't eat cabbage.
0	The sentence is not grammatically correct. It could be corrected to: "Mary came to introduce herself to the bartender, and I also came along."
1	The sentence is already correct.
0	Joe's neuroses bother his patrons, and so does Sally.
0	I know which book José didn't read for class, and which book Lilly read for him.
0	This is the book that Bob reviewed, and this is the one that Fred won't review.
0	I know which book Mag read and which book Bob said you hadn't read.
0	I know which book Mag read and which book Bob read my report that I hadn't.
0	I'm sure I would like him to eat fruit more than cookies.
0	Rusty talked about himself only after Mary had talked about him.
0	Fred talked about everything before Rusty talked about something.
1	The sentence is already correct.
0	The problem is easily perceived.
1	The sentence is already correct.
0	We elected me [to the position].
0	Which report did he submit that called John incompetent?
1	The sentence is already correct.
0	He let out the whining cats.
1	The sentence is already correct.
1	The sentence is already correct.
0	A proof that the claim had been made was given: John had lied.
0	He attributed the fire that destroyed most of my factory to a short circuit caused by an overloaded transducer.
0	The mayor regarded the proposal to build a sidewalk from Dartmouth to Smith as being absurd.
0	I want Bill's departure to remain a secret.
0	I know a man whom Tom drives as he drives.
0	Rescuing cats from drowning is hard, and the act of drowning cats is against the law.
0	Muriel said nothing else other than that she had been insulted.
0	Rutherford understands himself.
1	The sentence is already correct.
0	The proof that this set is recursive is difficult.
0	The madrigals during which Henry plays the lute and sings sound lousy.
0	The sentence is already correct.
0	The sentence is already correct.
0	Which boy's employer did we elect as guardian president?
0	Is Peter sane?
0	I live where Route 150 crosses the river, and my dad lives where the same route crosses the Hudson River, too.
0	I live at the place where Route 150 crosses the Hudson River, and my dad lives there too.
0	The sentence is not grammatically correct. A possible correction could be: "Whom is she trying to make up to now?"
0	There was knowledge of a plot to negotiate an honorable end to the Vietnam War.
0	Mike talked about politics to my friends yesterday.
0	The reporters expected the principal to fire some teachers.
0	The sentence is already correct.
0	The sentence is not a question.
0	We donated wire for the convicts to build cages.
0	The sentence is not grammatically correct. A possible correction: "I won't have any money."
0	The sentence is already correct.
0	The sentence is already correct.
0	That Sam sometimes didn't sleep must have pleased someone.
1	The sentence is already correct.
0	That the fuzz wanted him worried John, but Mary wasn't worried that the fuzz wanted her.
0	I'll work on it if Sam is working on it.
1	The sentence is already correct.
0	Here's a knife for you to cut the onions with.
0	Not everybody knows that Fluffy is sick.
0	Maxwell is quite a good doctor.
0	The younger woman might have been tall, and the older one, who definitely was blond, might have been as well.
0	Sally is tall and may be blond. Sheila is short and definitely blond.
0	I have to try to finish grading some of the papers.
0	The socks are ready for you to put on.
1	The sentence is already correct.
1	The sentence is already correct.
0	It is easy to please both my mother and my father.
0	The sentence is already correct.
0	That robbery is terrible; the cops spoke to the janitor about it yesterday.
0	Every student who wears socks is a swinger.
0	He gave that girl my binoculars.
1	The sentence is already correct.
0	Nobody who hates to eat anything should work in a delicatessen.
0	Everyone around here who ever buys anything on credit talks in their sleep.
0	The sentence is already correct.
0	No writers nor playwrights meet in Vienna.
0	No writer or playwright meets in Vienna.
0	That you will marry any student is uncertain.
0	The sentence is already correct.
1	The sentence is already correct.
0	Sam took the ball out of the basket.
0	Sam took the ball out of the basket.
1	The sentence is already correct.
1	The sentence is already correct.
0	No one can forgive you for that comment.
0	We launched the rocket toward the moon, but it blew up before it got there.
1	The sentence is already correct.
0	I lent part of the book to Tony.
1	The sentence is already correct.
0	The farmer dumped the cart of apples.
1	The sentence is already correct.
1	The sentence is already correct.
0	Janet broke Bill's finger.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	That movie is always shocking.
0	Sharon entered the room.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Brian threw the stick at the fence.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	They praised the dedication of the volunteers.
1	The sentence is already correct.
1	The sentence is already correct.
0	Sandra beamed a cheerful greeting.
1	The sentence is already correct.
0	Paperback books are easily lifted onto the table.
0	The books were lifted onto the table.
1	The sentence is already correct.
1	The sentence is already correct.
0	Jessica crammed boxes into the truck.
0	Lora buttered the toast.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Carla slid the book across the table.
0	Carla slid on the book.
1	The sentence is already correct.
0	It is easy to drive packages to New York.
0	Someone pushed the chair.
1	The sentence is already correct.
0	A job was offered.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	These flyers differ from each other.
0	The jeweller scribbled his name on the contract.
0	The gardener grew that acorn and turned it into an oak tree.
0	I baked a loaf.
0	The children were amused.
1	The sentence is already correct.
0	Susan whispered to Rachel.
1	The sentence is already correct.
0	Ellen spoke about the present conditions.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Linda winked her lip. -> Linda puckered her lip.
0	My heart is pounding.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	I squeaked the door open.
1	The sentence is already correct.
1	The sentence is already correct.
0	The fort fluttered with many flags. The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	A wonderful opportunity presented itself yesterday.
1	The sentence is already correct.
0	A little white rabbit jumped out of the box.
1	The sentence is already correct.
1	The sentence is already correct.
0	Much information was provided.
0	John offers much advice.
1	The sentence is already correct.
0	We recommend eating less cake and pastry.
0	I saw that gas could explode.
0	He washed her cat.
0	Wash yourself!
0	The sentence is not grammatically correct and seems to be incomplete. It cannot be corrected without additional context.
0	Some of my jobs are in jeopardy.
0	It was the policeman who met several young students in the park last night.
0	Did the policeman meet in the park?
1	The sentence is already correct.
0	The monkeys are proud of their leader.
0	The sentence is not grammatically correct. It seems to be incomplete. It could be corrected as: "John sounded very angry."
1	The sentence is already correct.
0	John bought a book that was on the table.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	He has left me a good friend.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	John put it under the bathtub.
1	The sentence is already correct.
0	Kim depends on Sandy.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Kim put it in the box.
1	The sentence is already correct.
1	The sentence is already correct.
0	It was known that Fred was unpopular, so he nominated Bill.
0	They were taking a hard look at a possible FTA.
0	John paid me for the book.
1	The sentence is already correct.
0	We made them rude.
1	The sentence is already correct.
0	Students studying English read Conrad's Heart of Darkness while at university.
1	The sentence is already correct.
1	The sentence is already correct.
0	Neither of the students failed.
0	I drank some water.
0	The sentence is already correct.
1	The sentence is already correct.
0	The sentence is already correct.
0	He washed himself.
0	John is easy to please for Kim.
0	That seemed to be intelligent.
1	The sentence is already correct.
0	We believed John to be a statue in the park.
0	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	It is believed that there are sheep in the park.
0	I hope I would study in France.
1	The sentence is already correct.
0	It will rain tomorrow.
0	We expect it to rain.
1	The sentence is already correct.
0	Was the child in the school?
1	The sentence is already correct.
0	John does not want to leave the town.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	As a statesman, he could scarcely do anything worth mentioning.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	The book weighed a pound.
0	The sentence is already correct.
1	The sentence is already correct.
0	Fed knows which politician to vote for.
1	The sentence is already correct.
1	The sentence is already correct.
0	Which house does your friend live in?
0	The baker from whom I bought these bagels has left.
1	The sentence is already correct.
0	Jack is the person with whom Jenny fell in love.
1	The sentence is already correct.
1	The sentence is already correct.
0	Which topic did you choose without getting his approval? The sentence is already correct.
0	Which topic did you get bored of because Mary talked about it?
1	The sentence is already correct.
0	It bothers me that John coughs.
0	It is easy to please John.
1	The sentence is already correct.
0	It really bites that we invaded Iraq.
0	It annoys me that Fido barks.
0	Angela achieved the best result.
1	The sentence is already correct.
0	It is hard to find anyone to look after that kind of person.
0	A sick owl doesn't hunt for mice.
1	The sentence is already correct.
0	The sentence is already correct.
0	The sentence is already correct.
0	I'm not even sure if we got these tickets!
0	It's not that I have any sympathy for urban guerrillas; that's why I helped him.
0	The sentence is already correct.
0	John whined that he was hungry.
0	I gave Mary a book after the party.
0	Because she's so pleasant, I really like Mary.
0	Though he may hate those who criticize Carter, it doesn't matter.
0	John would not be happy without a job.
1	The sentence is already correct.
1	The sentence is already correct.
0	I don't want any trouble.
1	The sentence is already correct.
0	Some of them made as many as 20 errors.
0	Sally kissed herself.
0	Drew believes that I think Rosie loves magazine ads.
1	The sentence is already correct.
1	The sentence is already correct.
0	Blue leather shows Betsy is pretty.
1	The sentence is already correct.
0	I thought that you knew the answer.
0	I've lost my wallet, or I've lost my mind.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	The book of poems and the one from Blackwell take a very long time to read.
0	The one with the red cover takes a very long time to read.
1	The sentence is already correct.
0	The building's roof is leaking.
0	The panther's coat is dark black.
1	The sentence is already correct.
0	The man I saw getting into the cab robbed the bank.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Heidi thinks that Andy eats salmon-flavored candy bars.
0	Heidi thinks that Andy should eat salmon-flavoured candy bars.
1	The sentence is already correct.
0	Did Calvin do his homework?
0	The sentence is already correct.
0	The sentence is already correct.
0	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	It was sunk.
0	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Four men had arrived at the station by the time I pulled up.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	The sentence is already correct.
1	The sentence is already correct.
