label	category	correction
1	Semantics	The sentence is already correct.
1	Semantics	The weights made the rope stretch over the pulley.
1	Semantics	The mechanical doll wriggled loose.
1	Semantics	The sentence is already correct.
0	Semantics	The more you eat, the less you want.
0	Semantics	The more you want, the less you would eat.
0	Morphology	I demand that the more John eats, the more he pays.
0	Syntax	Mary listens to the Grateful Dead and gets depressed.
1	Semantics	The angrier Mary got, the more she looked at pictures.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Morphology	John was much more obnoxious than Fred.
1	Semantics	The sentence is already correct.
0	Syntax	The more Bill smokes, the more Susan hates him.
1	Syntax	The sentence is already correct.
0	Semantics	The sentence is already correct.
0	Syntax	Who does John visit because he likes Sally?
1	Syntax	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Syntax	The sentence is already correct.
1	Syntax	The sentence is already correct.
0	Syntax	Mickey looked it up.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Syntax	Gas escaped from the tube.
1	Syntax	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Syntax	What the water did to the bottle was fill it. The sentence is not grammatically correct and sounds awkward. A possible revision could be: "The water filled the bottle."
0	Syntax	What the water did was fill the whole bottle.
0	Semantics	The fluid leaked freely from the tank.
0	Morphology	John laid the ball in the box.
1	Syntax	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Syntax	Most people probably consider Klaus guilty of murder, even though the courts didn't actually find him guilty.
0	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Syntax	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Syntax	The sentence is already correct.
0	Syntax	They seriously represented Mary to the dean as a genuine linguist.
0	Morphology	We love them.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Semantics	John wants to read Fred's story, and so do I.
0	Semantics	We wanted to invite someone, but we couldn't decide whom to invite.
1	Syntax	The sentence is already correct.
0	Syntax	Mary claimed that Holly shouldn't eat cabbage.
0	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Semantics	Joe's neuroses bother his patrons, and so does Sally.
0	Semantics	I know which book José didn't read for class, and which book Lilly read for him.
0	Syntax	This is the book that Bob reviewed, and this is the one that Fred won't review.
0	Syntax	I know which book Mag read and which book Bob said you hadn't read.
0	Syntax	I know which book Mag read and which book Bob read my report that I hadn't.
0	Semantics	I'm sure I would like him to eat fruit more than I would like him to eat cookies.
0	Syntax	The sentence is already correct.
0	Syntax	Fred talked about everything before Rusty talked about something.
1	Semantics	The sentence is already correct.
0	Semantics	The problem is easily perceived.
1	Semantics	The sentence is already correct.
0	Semantics	We elected him.
0	Semantics	Which report did he submit that labeled John as incompetent?
1	Semantics	The sentence is already correct.
0	Semantics	He let the whining cats out.
1	Semantics	The sentence is already correct.
1	Syntax	The sentence is already correct.
0	Syntax	A proof was given that the claim had been made that John had lied.
0	Syntax	He attributed the fire that destroyed most of my factory to a short circuit caused by an overloaded transducer.
0	Syntax	The mayor regarded the proposal to build a sidewalk from Dartmouth to Smith as being absurd.
0	Syntax	I want Bill's departure to remain a secret.
0	Syntax	I know a man whom Tom drives as he drives.
0	Syntax	Rescuing cats from drowning is hard, and it is against the law.
1	Semantics	The sentence is already correct.
0	Syntax	Rutherford understands himself.
1	Semantics	The sentence is already correct.
0	Morphology	The proof that this set is recursive is difficult.
0	Syntax	The madrigals that Henry plays on the lute and sings to sound lousy.
1	Semantics	The sentence is already correct.
0	Syntax	The sentence is already correct.
0	Syntax, Morphology	Which boy's employer did we elect as guardian president?
0	Semantics	Is Peter sane?
0	Semantics	I live at the place where Route 150 crosses the River and my dad lives there too.
0	Semantics	I live at the place where Route 150 crosses the Hudson River and my dad lives there too.
0	Semantics	The sentence is already correct.
0	Semantics	There was news of a plot to negotiate an honorable end to the Vietnam War.
0	Syntax	Mike talked about politics to my friends yesterday.
0	Syntax	The reporters expected the principal to fire some teachers.
0	Semantics	The sentence is already correct.
0	Semantics	The sentence is already correct.
0	Semantics	The sentence is already correct.
0	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Syntax	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Syntax	The fact that the fuzz wanted him worried John, but Mary wasn't worried by the fact that the fuzz wanted her.
