label	correction
1	The sentence is already correct.
1	The sentence is already correct.
0	The mechanical doll wriggled loose.
0	If you had eaten more, you would want more.
0	As you eat the most, you want the least.
0	The more you want, the less you would eat.
0	I demand that the more John eats, the more he pays.
0	Mary listens to the Grateful Dead and gets depressed.
0	The angrier Mary got, the more she looked at picture.
1	The sentence is already correct.
1	The sentence is already correct.
0	John was much more obnoxious than Fred.
0	The more people to whom you give beer, the more people get sick.
0	The more Bill smokes, the more Susan hates him.
1	The sentence is already correct.
0	Every senator seems to become more corrupt as he or she talks to more lobbyists.
0	Who does John visit because he likes Sally?
1	The sentence is already correct.
1	The sentence is already correct.
0	He cannot have been working.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Mickey looked it up.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Gas escaped from the tube.
1	The sentence is already correct.
1	The sentence is already correct.
0	What the water did to the bottle was fill **it**.
0	What the water did to the whole bottle was fill it full.
0	The tank leaked the fluid freely.
0	John laid the ball in the box.
1	The sentence is already correct.
1	The sentence is already correct.
0	Most people probably consider Klaus guilty of murder, even though the courts didn't actually find him guilty.
0	Mary plays the violin beautifully.
0	Clearly, John will probably immediately learn French perfectly.
0	Sue gave Bill a book.
1	The sentence is already correct.
1	The sentence is already correct.
0	They represented Mary to the dean as a serious and genuine linguist.
0	We love them.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	John wants to read Fred's story, and I do, too.
0	We wanted to invite someone, but we couldn't decide who to invite.
1	The sentence is already correct.
0	Mary claimed that Holly shouldn't eat cabbage.
0	Mary was introduced to me by the bartender, and I also introduced myself.
1	The sentence is already correct.
0	Joe's neuroses bother his patrons, and so does Sally.
0	I know which book José didn't read for class and which book Lilly read for him.
0	This is the book that Bob reviewed, and this is the one that Fred won't review.
0	I know which book Mag read and which book Bob said you hadn't read.
0	I know which book Mag read, and which book Bob read, that you hadn't read my report on.
0	I'm sure I would like him to eat fruit more than cookies.
0	Rusty talked about himself only after Mary talked about him.
0	Fred talked about everything before Rusty talked about something.
1	The sentence is already correct.
0	The problem is easily perceived.
1	The sentence is already correct.
0	We elected *I*.
0	Which report did he submit that called John incompetent?
1	The sentence is already correct.
0	He let the whining cats out.
1	The sentence is already correct.
1	The sentence is already correct.
0	A proof that the claim had been made was given: John had lied.
0	He attributed the fire that destroyed most of my factory to a short circuit caused by an overloaded transducer.
0	The mayor regarded the proposal to build a sidewalk from Dartmouth to Smith as being absurd.
0	I want it to remain a secret that Bill left.
0	I know a man whom Tom drives as he drives.
0	Rescuing cats from drowning, which is against the law, is hard.
0	Muriel said nothing else other than that she had been insulted.
0	Rutherford understands himself.
1	The sentence is already correct.
0	The proof that this set is recursive is difficult.
0	The madrigals during which Henry plays the lute and sings sound lousy.
0	Tom picked those grapes, and I washed some turnips, and Suzie will prepare those grapes.
0	The sentence is not a correct English sentence. It is a set of questions that could be part of a longer conversation or context. To form a correct English sentence, additional information or context is needed.
0	Whose boy's employer did we elect guardian president?
0	How sane is Peter?
0	I live at the place where Route 150 crosses the river, and my dad lives at the place where Route 150 crosses the Hudson River, too.
0	I live at the place where Route 150 crosses the Hudson River, and my dad lives there, too.
0	Who is she trying to make up with now?
0	Wind was gotten news of a plot to negotiate an honorable end to the war in Vietnam.
0	Mike talked about politics to my friends yesterday.
0	The reporters expected that the principal would fire some teachers.
0	Which hat did Mike quip that he never wore?
0	Which girl did Mike quip had never worn this hat?
0	We donated wire for the convicts to build cages.
0	I won't have any money.
1	The sentence is already correct.
0	I won't ask you to believe that he tried to force me to give him any money.
0	That Sam sometimes didn't sleep must have pleased someone.
0	I talked to Winston about himself. The sentence is already correct.
0	That the fuzz wanted him worried John, but Mary wasn't worried that the fuzz wanted her.
0	I'll work on it if Sam is working on it.
1	The sentence is already correct.
0	Here's a knife for you to cut the onions with.
0	Everybody doesn't know that Fluffy is sick.
1	The sentence is already correct.
0	The younger woman might have been tall, and the older one definitely was blond.
0	Sally is tall and may be blonde, and Sheila is short and definitely blonde.
1	The sentence is already correct.
0	The socks are ready for you to put on.
1	The sentence is already correct.
1	The sentence is already correct.
0	My mother is easy to please; my father, however, is not.
1	The sentence is already correct.
0	That the cops spoke to the janitor about that terrible robbery yesterday.
0	Every student who wears socks is a swinger.
0	He gave that girl my binoculars.
1	The sentence is already correct.
0	Nobody who hates eating anything should work in a delicatessen.
0	Everyone around here who ever buys anything on credit talks in their sleep.
0	I can't remember the name of someone who had misgivings.
0	No writers or playwrights meet in Vienna.
0	No writer or playwright meets in Vienna.
0	That you will marry any student is uncertain.
0	Felicia kicked the ball from the bench.
1	The sentence is already correct.
0	Sam took the ball out of the basket.
0	Sam took the ball out of the basket.
1	The sentence is already correct.
1	The sentence is already correct.
0	No one can forgive you for that comment.
0	We launched the rocket toward the moon, but it blew up before it got there.
1	The sentence is already correct.
0	I lent part of the book to Tony.
1	The sentence is already correct.
0	The farmer dumped the cart of apples.
1	The sentence is already correct.
1	The sentence is already correct.
0	Janet broke Bill's finger.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	That movie is always shocking.
0	Sharon came into the room.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Brian threw the stick at the fence.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	They praised the dedication of the volunteers.
1	The sentence is already correct.
1	The sentence is already correct.
0	Sandra beamed a cheerful greeting.
1	The sentence is already correct.
0	Paperback books can be lifted onto the table easily.
0	The books were lifted onto the table.
1	The sentence is already correct.
1	The sentence is already correct.
0	Jessica crammed boxes into the truck.
0	Lora buttered the toast.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Carla slid the book across the table.
0	Carla slid the book.
1	The sentence is already correct.
0	It is easy to drive packages to New York.
0	Someone pushed the chair.
1	The sentence is already correct.
0	A job is offered.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	This flyer and that flyer differ.
0	The jeweller scribbled his name on the contract.
0	The gardener grew that acorn and turned it into an oak tree.
1	The sentence is already correct.
0	The children were amused.
1	The sentence is already correct.
0	Susan whispered to Rachel.
1	The sentence is already correct.
0	Ellen spoke about the present conditions.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Linda winked her lip. -> Linda puckered her lip.
0	My heart is pounding.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	I squeaked as I opened the door.
1	The sentence is already correct.
1	The sentence is already correct.
0	The fort fluttered with many flags. The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	A wonderful opportunity presented itself yesterday.
1	The sentence is already correct.
0	Out of the box, jumped a little white rabbit.
1	The sentence is already correct.
1	The sentence is already correct.
0	Much information was provided.
0	John offers much advice.
1	The sentence is already correct.
0	We recommend eating less cake and pastry.
0	I saw that gas could explode.
0	He washed her car.
0	Wash yourself!
0	The sentence is not grammatically correct. A possible correction could be: "They have none."
0	Some of my jobs are in jeopardy.
0	It was the policeman who met several young students in the park last night.
0	Did the policeman meet in the park?
1	The sentence is already correct.
0	The monkeys are proud of their leader.
0	The sentence is incomplete. It should be something like: "John sounded very tired."
1	The sentence is already correct.
0	John bought a book that was on the table.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	He has left me a good friend.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	John put it under the bathtub.
1	The sentence is already correct.
0	Kim depends on Sandy.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Kim put it in the box.
1	The sentence is already correct.
1	The sentence is already correct.
0	That Fred was unpopular was clear to Bill.
0	They were taking a hard look at a possible FTA.
0	John paid me for the book.
1	The sentence is already correct.
0	We made them rude.
1	The sentence is already correct.
0	Students studying English read Conrad's Heart of Darkness while at university.
1	The sentence is already correct.
1	The sentence is already correct.
0	Neither of the students failed.
0	I drank some water.
0	It is golden hair.
1	The sentence is already correct.
0	That dog is so ferocious that it even tried to bite me.
0	He washed himself.
0	John is easy to please. Kim is easy to please, too.
0	The sentence is not grammatically correct. It seems to be missing a word or phrase after "intelligent." A possible correction could be: "There seemed to be an intelligent idea."
1	The sentence is already correct.
0	We believed John to be a fountain of knowledge in the park.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	It is believed that there are sheep in the park.
0	I hope I would study in France.
1	The sentence is already correct.
0	It will rain tomorrow.
0	We expect it to rain.
1	The sentence is already correct.
0	Was the child in the school?
1	The sentence is already correct.
0	John does not want to leave the town.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	As a statesman, he could scarcely do anything worth mentioning.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	The book weighed a pound.
0	Whom do you think Tom saw?
1	The sentence is already correct.
0	Fed knows which politician to vote for.
1	The sentence is already correct.
1	The sentence is already correct.
0	Which house does your friend live in?
0	The baker from whom I bought these bagels has left.
1	The sentence is already correct.
0	Jack is the person with whom Jenny fell in love.
1	The sentence is already correct.
1	The sentence is already correct.
0	Which topic did you choose without getting his approval?
0	Which topic did you get bored of because Mary talked about it?
1	The sentence is already correct.
0	It bothers me that John coughs. The sentence is already correct.
0	It is easy to please John.
1	The sentence is already correct.
0	That we invaded Iraq really bites me.
0	It annoys me that Fido barks incessantly.
0	Angela achieved the best result.
1	The sentence is already correct.
0	It is hard to find anyone to look after that kind of person.
1	The sentence is already correct.
1	The sentence is already correct.
0	The sentence is already correct.
0	I'm sure we even have got these tickets!
0	I'm not even sure if we got these tickets!
0	It's not that I have any sympathy for urban guerillas; that's why I helped him.
0	It isn't because Sue said anything bad about me that I'm angry; it's because she lied to me.
0	John whined that he was hungry.
0	I gave Mary a book after the party.
0	Because she's so pleasant, I really like Mary.
0	Though he may hate those who criticize Carter, it doesn't matter.
0	No job would make John happy.
1	The sentence is already correct.
1	The sentence is already correct.
0	I don't want any trouble.
1	The sentence is already correct.
0	Some of them made as many as 20 errors.
0	Sally kissed herself.
1	The sentence is already correct.
1	The sentence is already correct.
0	Hopefully, we'll make it through the winter with no snow.
0	Blue leather shows Betsy is pretty.
1	The sentence is already correct.
0	I thought that you knew the answer.
0	I've lost my wallet, or I've lost my mind.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	The book of poems and the one from Blackwell take a very long time to read.
0	The one with the red cover takes a very long time to read.
1	The sentence is already correct.
0	The building's roof is leaking.
0	The panther's coat is dark black.
1	The sentence is already correct.
0	The man who I saw get into the cab robbed the bank.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
1	The sentence is already correct.
0	Heidi thinks that Andy should eat salmon-flavored candy bars.
0	Heidi thinks that Andy should eat salmon-flavoured candy bars.
1	The sentence is already correct.
0	Did Calvin do his homework?
1	The sentence is already correct.
0	If I were a rich man, I'd buy a diamond ring.
1	The sentence is already correct.
1	The sentence is already correct.
