label	explanation
1	This sentence is grammatically correct. It contains a simple subject ("the sailors"), a verb ("rode"), and an object ("the breeze"). The phrase "clear of the rocks" functions as an adverbial phrase, modifying how or where the action was performed. All elements are used correctly and there are no spelling or punctuation errors.
1	This sentence is grammatically correct. Here's a breakdown of why: * "The" is a definite article that correctly introduces the subject of the sentence (the weights). * "weights" is the plural form of weight, which refers to multiple objects being lifted or pulled by a rope. * "made" is the past tense of the verb "make," indicating that the action was completed in the past. In this context, it means that the weights caused something to happen. * "the rope" uses another definite article to refer specifically to one particular rope. * "stretch" is a verb that describes what the rope does when the weights exert force on it. * "over" is a preposition that indicates where the rope stretches - above and beyond the pulley. * "pulley" is a noun referring to a simple machine used for lifting heavy loads. It completes the meaning of the sentence by specifying what the rope stretches over.
1	This sentence is grammatically correct. Here's why: * "The mechanical doll" serves as the subject of the sentence. It is a noun phrase consisting of an adjective ("mechanical") modifying a noun ("doll"). * "wriggle(d)" is the verb of the sentence, which means to move with short twisting or turning movements. Since the action was completed in the past, we use the simple past tense form "wiggled." * "itself" is a reflexive pronoun that refers back to the subject, indicating that the doll performed the action on itself. Reflexive pronouns show that the subject and object refer to the same person or thing. In this case, it indicates that no external force helped the doll loosen up; instead, the doll did it independently. * "loose" is an adjective functioning as the complement of the linking verb "to be," describing the state achieved by the doll after wiggling (i.e., becoming free from constraints).
1	The sentence "If you had eaten more, you would want less" is grammatically correct. It contains a conditional construction (if + past perfect simple, would + infinitive) that expresses hypothetical or counterfactual situations in the past. All words are spelled correctly, punctuation marks are used appropriately, and there are no awkward phrasings or ambiguities. Therefore, I can confirm that it's a valid English sentence.
0	This sentence is grammatically incorrect because of the lack of parallel structure. A better way to phrase it would be: "The more you eat, the less you want." The original sentence has a verb ("eat") paired with its opposite ("want"), which creates confusion for the reader. By using the comparative forms "more" and "less," I've created a parallel structure that makes the meaning clearer.
0	This sentence is grammatically incorrect because of its structure and meaning. A better way to phrase it could be "The less you want, the more you will eat." In the original sentence, there's a mismatch between wanting more (which usually leads to eating more) and wanting less (which typically results in eating less).
0	This sentence is grammatically incorrect due to a mismatch between the subject ("the more John eat") and the verb form ("pays"). The correct form of the verb for the third person singular present simple tense requires the addition of an -s or -es ending (in this case, eats). Therefore, the corrected sentence should read as follows: "I demand that the more John eats, the more he pays."
0	This sentence needs a comma after "Dead" to separate two independent clauses. The corrected version would be: "Mary listens to the Grateful Dead, and she gets depressed." Alternatively, if we want to emphasize that listening to the band causes her depression, we could use a semicolon instead of a comma: "Mary listens to the Grateful Dead; she gets depressed."
1	This sentence is grammatically correct. The structure of the sentence follows the pattern of a correlative construction ("the Xer Y got, the Zer A did") which is used to compare two things or people by using correlating words such as "not only...but also" or "either...or." In this case, "the angrier Mary got" is being compared to "the more she looked at pictures," both of which use parallel forms (adjective + subject) followed by a comma splice that separates the two independent clauses. Although typically it's best practice to avoid run-on sentences through various methods, in this context, the comma splice works effectively for emphasis and clarity.
1	This sentence is grammatically correct. The subject of the sentence is "the higher the stakes," which is a comparative phrase that functions as the subject complement of the linking verb "are." The predicate of the sentence is "his expectations are" and it refers back to the pronoun "his" in the subject complement. Overall, the sentence follows standard English syntax rules and has no grammatical or spelling errors.
